SL.No,Date,Category,Sub category,Ward Name/No,Zone Name,Grievance Mode,Status
2389,27-08-2020,Health Dept,Increase in mosquito density,Kammanahalli/28,East,Sahaaya Helpline,CLOSED
2390,28-08-2020,Health Dept,Air/Noise pollution,BTM Layout/176,South,Sahaaya Helpline,REJECTED
2391,28-08-2020,Health Dept,Increase in mosquito density,Doddabommasandra/10,Yelahanka,Nammabengaluru App,CLOSED
2392,29-08-2020,Health Dept,Air/Noise pollution,Subedarapalya/45,West,Sahaaya Helpline,CLOSED
2393,29-08-2020,Health Dept,Increase in mosquito density,Vidyapeetha/164,South,Nammabengaluru App,CLOSED
2394,29-08-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Sahaaya Helpline,CLOSED
2395,29-08-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Sahaaya Helpline,CLOSED
2396,29-08-2020,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
2397,29-08-2020,Health Dept,Air/Noise pollution,Thanisandra/6,Yelahanka,Sahaaya Helpline,REJECTED
2398,29-08-2020,Health Dept,Spraying,J.P.Nagar/177,South,Sahaaya Helpline,CLOSED
2399,29-08-2020,Health Dept,Spraying,Shanthi Nagar/117,East,Sahaaya Helpline,CLOSED
2400,29-08-2020,Health Dept,Unhygienic premises in Hotel etc,Yelachenahalli/185,Bommanahalli,Nammabengaluru App,CLOSED
2401,30-08-2020,Health Dept,Fogging,Jalahalli/16,RRNagar,Sahaaya Helpline,CLOSED
2402,30-08-2020,Health Dept,Air/Noise pollution,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
2403,30-08-2020,Health Dept,Increase in mosquito density,Giri Nagar/162,South,Nammabengaluru App,CLOSED
2404,30-08-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2405,30-08-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,REJECTED
2406,30-08-2020,Health Dept,Birth & Death Registration,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
2407,30-08-2020,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Sahaaya Helpline,CLOSED
2408,30-08-2020,Health Dept,Increase in mosquito density,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
2409,30-08-2020,Health Dept,Air/Noise pollution,Kempapura Agrahara/122,South,Nammabengaluru App,CLOSED
2410,31-08-2020,Health Dept,Unhygienic premises in Hotel etc,J.P.Nagar/177,South,Nammabengaluru App,REJECTED
2411,31-08-2020,Health Dept,Air/Noise pollution,J.P.Nagar/177,South,Nammabengaluru App,CLOSED
2412,31-08-2020,Health Dept,Increase in mosquito density,Vidyapeetha/164,South,Nammabengaluru App,CLOSED
2413,31-08-2020,Health Dept,Increase in mosquito density,Sudam Nagar/118,South,Nammabengaluru App,RESOLVED
2414,31-08-2020,Health Dept,Air/Noise pollution,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
2415,31-08-2020,Health Dept,Birth & Death Registration,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
2416,31-08-2020,Health Dept,Air/Noise pollution,Basavanagudi/154,South,Nammabengaluru App,CLOSED
2417,31-08-2020,Health Dept,Air/Noise pollution,Anjanapur/196,Bommanahalli,Nammabengaluru App,CLOSED
2418,31-08-2020,Health Dept,Air/Noise pollution,Anjanapur/196,Bommanahalli,Nammabengaluru App,CLOSED
2419,31-08-2020,Health Dept,Spraying,Shanthi Nagar/117,East,Sahaaya Helpline,CLOSED
2420,31-08-2020,Health Dept,Increase in mosquito density,Basavanapura/53,Mahadevapura,Nammabengaluru App,CLOSED
2421,01-09-2020,Health Dept,Increase in mosquito density,Puttenahalli/187,Bommanahalli,Nammabengaluru App,CLOSED
2422,01-09-2020,Health Dept,Fogging,Radhakrishna Temple/18,East,Nammabengaluru App,CLOSED
2423,01-09-2020,Health Dept,Air/Noise pollution,Basavanagudi/154,South,Nammabengaluru App,CLOSED
2424,01-09-2020,Health Dept,Spraying,Devasandra/55,Mahadevapura,Sahaaya Helpline,CLOSED
2425,01-09-2020,Health Dept,Increase in mosquito density,Peenya Industrial Area/41,Dasarahalli,Sahaaya Helpline,CLOSED
2426,01-09-2020,Health Dept,Unhygienic premises in hospital,Kacharakanahalli/29,East,Nammabengaluru App,CLOSED
2427,01-09-2020,Health Dept,Increase in mosquito density,Shettyhalli/12,Dasarahalli,Nammabengaluru App,RESOLVED
2428,01-09-2020,Health Dept,Increase in mosquito density,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
2429,02-09-2020,Health Dept,Air/Noise pollution,Govindraja Nagara/104,West,Nammabengaluru App,CLOSED
2430,02-09-2020,Health Dept,Delay in issue of Trade licence,Sampangiram Nagar/110,East,Nammabengaluru App,CLOSED
2431,02-09-2020,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,Sahaaya Helpline,CLOSED
2432,02-09-2020,Health Dept,Fogging,Radhakrishna Temple/18,East,Nammabengaluru App,CLOSED
2433,03-09-2020,Health Dept,Air/Noise pollution,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
2434,03-09-2020,Health Dept,Fogging,Radhakrishna Temple/18,East,Nammabengaluru App,CLOSED
2435,03-09-2020,Health Dept,Unhygienic premises in Hotel etc,Hosakerehalli/161,South,Nammabengaluru App,CLOSED
2436,03-09-2020,Health Dept,Air/Noise pollution,Newthippasandra/58,East,Sahaaya Helpline,CLOSED
2437,03-09-2020,Health Dept,Increase in mosquito density,C.V.Raman Nagar/57,East,Sahaaya Helpline,CLOSED
2438,03-09-2020,Health Dept,Birth & Death Registration,BTM Layout/176,South,Nammabengaluru App,REJECTED
2439,03-09-2020,Health Dept,Spraying,Sanjay Nagar/19,East,Sahaaya Helpline,CLOSED
2440,03-09-2020,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
2441,04-09-2020,Health Dept,Delay in issue of Trade licence,Singasandra/191,Bommanahalli,Nammabengaluru App,REJECTED
2442,04-09-2020,Health Dept,Air/Noise pollution,J.P.Park/17,RRNagar,Nammabengaluru App,CLOSED
2443,04-09-2020,Health Dept,Air/Noise pollution,J.P.Park/17,RRNagar,Nammabengaluru App,CLOSED
2444,04-09-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
2445,04-09-2020,Health Dept,Air/Noise pollution,Marappana Palya/44,West,Nammabengaluru App,CLOSED
2446,04-09-2020,Health Dept,Birth & Death Registration,Bommanahalli/175,Bommanahalli,Nammabengaluru App,REJECTED
2447,05-09-2020,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
2448,05-09-2020,Health Dept,Increase in mosquito density,Benniganahalli/50,East,Sahaaya Helpline,CLOSED
2449,05-09-2020,Health Dept,Spraying,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2450,05-09-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2451,05-09-2020,Health Dept,Increase in mosquito density,Benniganahalli/50,East,Sahaaya Helpline,CLOSED
2452,05-09-2020,Health Dept,Increase in mosquito density,Benniganahalli/50,East,Sahaaya Helpline,CLOSED
2453,05-09-2020,Health Dept,Unhygienic premises in Hotel etc,Kamakshipalya/101,West,Sahaaya Helpline,CLOSED
2454,06-09-2020,Health Dept,Increase in mosquito density,Herohalli/72,RRNagar,Sahaaya Helpline,CLOSED
2455,06-09-2020,Health Dept,Increase in mosquito density,Sunkenahalli/142,South,Sahaaya Helpline,RESOLVED
2456,06-09-2020,Health Dept,Air/Noise pollution,Sri Rammandira/108,West,Sahaaya Helpline,CLOSED
2457,06-09-2020,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
2458,06-09-2020,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
2459,06-09-2020,Health Dept,Unhygienic premises in Hotel etc,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
2460,06-09-2020,Health Dept,Increase in mosquito density,Arakere/193,Bommanahalli,Nammabengaluru App,CLOSED
2461,07-09-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Nammabengaluru App,CLOSED
2462,07-09-2020,Health Dept,Increase in mosquito density,Jogupalya/89,East,Nammabengaluru App,CLOSED
2463,07-09-2020,Health Dept,Air/Noise pollution,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,REJECTED
2464,07-09-2020,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2465,07-09-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Nammabengaluru App,CLOSED
2466,07-09-2020,Health Dept,Spraying,Chikkalasandra/183,South,Whatsapp,CLOSED
2467,07-09-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Nammabengaluru App,CLOSED
2468,07-09-2020,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,CLOSED
2469,08-09-2020,Health Dept,Increase in mosquito density,Rajamahal/64,West,Nammabengaluru App,CLOSED
2470,08-09-2020,Health Dept,Spraying,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
2471,08-09-2020,Health Dept,Increase in mosquito density,Deepanjali Nagar/158,South,Nammabengaluru App,CLOSED
2472,08-09-2020,Health Dept,Increase in mosquito density,Doddanekkundi/85,Mahadevapura,Sahaaya Helpline,CLOSED
2473,08-09-2020,Health Dept,Spraying,Kengeri/159,RRNagar,Whatsapp,CLOSED
2474,08-09-2020,Health Dept,Increase in mosquito density,Kammanahalli/28,East,Nammabengaluru App,CLOSED
2475,08-09-2020,Health Dept,Fogging,Hemmigepura/198,RRNagar,Sahaaya Helpline,CLOSED
2476,08-09-2020,Health Dept,Increase in mosquito density,Jagajeevanram Nagar/136,West,Whatsapp,CLOSED
2477,09-09-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Nammabengaluru App,CLOSED
2478,09-09-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
2479,09-09-2020,Health Dept,Air/Noise pollution,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
2480,09-09-2020,Health Dept,Air/Noise pollution,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
2481,09-09-2020,Health Dept,Increase in mosquito density,Nagapura/67,West,Nammabengaluru App,CLOSED
2482,09-09-2020,Health Dept,Increase in mosquito density,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
2483,10-09-2020,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,REJECTED
2484,10-09-2020,Health Dept,Increase in mosquito density,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
2485,10-09-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2486,10-09-2020,Health Dept,Spraying,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
2487,10-09-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
2488,10-09-2020,Health Dept,Air/Noise pollution,Jaraganahalli/186,Bommanahalli,Nammabengaluru App,CLOSED
2489,10-09-2020,Health Dept,Unhygienic premises in Hotel etc,Konanakunte/195,Bommanahalli,Nammabengaluru App,CLOSED
2490,10-09-2020,Health Dept,Unhygienic premises in Hotel etc,Someshwara/3,Yelahanka,Nammabengaluru App,REJECTED
2491,10-09-2020,Health Dept,Unhygienic premises in Hotel etc,Kumaraswamy Layout/181,South,Nammabengaluru App,CLOSED
2492,10-09-2020,Health Dept,Air/Noise pollution,Govindraja Nagara/104,West,Nammabengaluru App,CLOSED
2493,11-09-2020,Health Dept,Unhygienic premises in Hotel etc,Herohalli/72,RRNagar,Nammabengaluru App,REJECTED
2494,11-09-2020,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,CLOSED
2495,11-09-2020,Health Dept,Air/Noise pollution,Vidyapeetha/164,South,Nammabengaluru App,CLOSED
2496,11-09-2020,Health Dept,Unhygienic premises in Hotel etc,Shivaji Nagar/92,East,Nammabengaluru App,CLOSED
2497,12-09-2020,Health Dept,Delay in issue of Trade licence,Vijay Nagar/123,South,Nammabengaluru App,CLOSED
2498,12-09-2020,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
2499,12-09-2020,Health Dept,Birth & Death Registration,Vishwanathnagenahalli/22,East,Nammabengaluru App,CLOSED
2500,12-09-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
2501,13-09-2020,Health Dept,Unhygienic premises in Hotel etc,Kumaraswamy Layout/181,South,Sahaaya Helpline,CLOSED
2502,13-09-2020,Health Dept,Air/Noise pollution,Yelachenahalli/185,Bommanahalli,Nammabengaluru App,CLOSED
2503,14-09-2020,Health Dept,Air/Noise pollution,Kavalbyrasandra/32,East,Nammabengaluru App,CLOSED
2504,14-09-2020,Health Dept,Unhygienic premises in Hotel etc,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
2505,14-09-2020,Health Dept,Unhygienic premises in Hotel etc,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
2506,14-09-2020,Health Dept,Birth & Death Registration,Shakambari Nagar/179,South,Nammabengaluru App,CLOSED
2507,14-09-2020,Health Dept,Fogging,Chalavadipalya/138,West,Sahaaya Helpline,CLOSED
2508,14-09-2020,Health Dept,Spraying,Gottigere/194,Bommanahalli,Social Network,CLOSED
2509,15-09-2020,Health Dept,Air/Noise pollution,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
2510,15-09-2020,Health Dept,Spraying,Mangammanapalya/190,Bommanahalli,Sahaaya Helpline,CLOSED
2511,15-09-2020,Health Dept,Air/Noise pollution,Nayandanahalli/131,West,Nammabengaluru App,CLOSED
2512,15-09-2020,Health Dept,Unhygienic premises in Hotel etc,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
2513,16-09-2020,Health Dept,Fogging,Jalahalli/16,RRNagar,Nammabengaluru App,CLOSED
2514,16-09-2020,Health Dept,Spraying,Laggere/69,RRNagar,Sahaaya Helpline,CLOSED
2515,16-09-2020,Health Dept,Increase in mosquito density,Konanakunte/195,Bommanahalli,Nammabengaluru App,CLOSED
2516,16-09-2020,Health Dept,Air/Noise pollution,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
2517,17-09-2020,Health Dept,Unhygienic premises in Hotel etc,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
2518,17-09-2020,Health Dept,Increase in mosquito density,HBR Layout/24,East,Nammabengaluru App,CLOSED
2519,17-09-2020,Health Dept,Increase in mosquito density,Puttenahalli/187,Bommanahalli,Nammabengaluru App,CLOSED
2520,17-09-2020,Health Dept,Unhygienic premises in Hotel etc,Sri Nagar/156,South,Sahaaya Helpline,CLOSED
2521,17-09-2020,Health Dept,Air/Noise pollution,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
2522,17-09-2020,Health Dept,Increase in mosquito density,Visvesvarapuram/143,South,Nammabengaluru App,RESOLVED
2523,17-09-2020,Health Dept,Fogging,Gottigere/194,Bommanahalli,Sahaaya Helpline,CLOSED
2524,17-09-2020,Health Dept,Air/Noise pollution,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2525,18-09-2020,Health Dept,Air/Noise pollution,Sudduguntepalya/152,South,Nammabengaluru App,CLOSED
2526,18-09-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
2527,18-09-2020,Health Dept,Spraying,Kadugodi/83,Mahadevapura,Sahaaya Helpline,CLOSED
2528,18-09-2020,Health Dept,Spraying,Subramanya Nagar/66,West,Sahaaya Helpline,CLOSED
2529,18-09-2020,Health Dept,Spraying,Shettyhalli/12,Dasarahalli,Nammabengaluru App,RESOLVED
2530,18-09-2020,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
2531,18-09-2020,Health Dept,Air/Noise pollution,Muneshwara Nagar/48,East,Nammabengaluru App,CLOSED
2532,19-09-2020,Health Dept,Spraying,Ejipura/148,South,Sahaaya Helpline,CLOSED
2533,19-09-2020,Health Dept,Spraying,Doddanekkundi/85,Mahadevapura,Sahaaya Helpline,CLOSED
2534,19-09-2020,Health Dept,Spraying,Horamavu/25,Mahadevapura,Sahaaya Helpline,CLOSED
2535,19-09-2020,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
2536,19-09-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Sahaaya Helpline,CLOSED
2537,20-09-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
2538,20-09-2020,Health Dept,Spraying,Vijanapura/51,Mahadevapura,Nammabengaluru App,CLOSED
2539,21-09-2020,Health Dept,Fogging,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
2540,21-09-2020,Health Dept,Unhygienic premises in hospital,Sarvagna Nagar/79,East,Sahaaya Helpline,CLOSED
2541,21-09-2020,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
2542,21-09-2020,Health Dept,Spraying,Lingarajapuram/49,East,Sahaaya Helpline,CLOSED
2543,21-09-2020,Health Dept,Spraying,Vasanth Nagar/93,East,Sahaaya Helpline,CLOSED
2544,21-09-2020,Health Dept,Air/Noise pollution,Sunkenahalli/142,South,Nammabengaluru App,REJECTED
2545,22-09-2020,Health Dept,Unhygienic premises in Hotel etc,Sunkenahalli/142,South,Nammabengaluru App,RESOLVED
2546,22-09-2020,Health Dept,Air/Noise pollution,Hanumantha Nagar/155,South,Nammabengaluru App,CLOSED
2547,23-09-2020,Health Dept,Air/Noise pollution,Muneshwara Nagar/48,East,Nammabengaluru App,CLOSED
2548,23-09-2020,Health Dept,Air/Noise pollution,Vrushabhavati Nagar/102,West,Nammabengaluru App,CLOSED
2549,23-09-2020,Health Dept,Spraying,Shanthi Nagar/117,East,Sahaaya Helpline,REJECTED
2550,23-09-2020,Health Dept,Increase in mosquito density,Puttenahalli/187,Bommanahalli,Nammabengaluru App,CLOSED
2551,23-09-2020,Health Dept,Spraying,Vishwanathnagenahalli/22,East,Sahaaya Helpline,CLOSED
2552,23-09-2020,Health Dept,Increase in mosquito density,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
2553,24-09-2020,Health Dept,Spraying,Shettyhalli/12,Dasarahalli,Nammabengaluru App,RESOLVED
2554,24-09-2020,Health Dept,Air/Noise pollution,Yelachenahalli/185,Bommanahalli,Nammabengaluru App,CLOSED
2555,24-09-2020,Health Dept,Fogging,Kavalbyrasandra/32,East,Sahaaya Helpline,CLOSED
2556,24-09-2020,Health Dept,Spraying,J.P.Nagar/177,South,Whatsapp,CLOSED
2557,24-09-2020,Health Dept,Unhygienic premises in hospital,Ganga Nagar/20,East,Sahaaya Helpline,CLOSED
2558,25-09-2020,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
2559,25-09-2020,Health Dept,Air/Noise pollution,Jogupalya/89,East,Sahaaya Helpline,CLOSED
2560,25-09-2020,Health Dept,Increase in mosquito density,Dodda Bidarkallu/40,RRNagar,Nammabengaluru App,CLOSED
2561,25-09-2020,Health Dept,Delay in issue of Trade licence,Herohalli/72,RRNagar,Sahaaya Helpline,CLOSED
2562,25-09-2020,Health Dept,Air/Noise pollution,Newthippasandra/58,East,Nammabengaluru App,CLOSED
2563,25-09-2020,Health Dept,Increase in mosquito density,Banaswadi/27,East,Sahaaya Helpline,REJECTED
2564,26-09-2020,Health Dept,Spraying,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
2565,26-09-2020,Health Dept,Increase in mosquito density,Lakkasandra/146,South,Nammabengaluru App,CLOSED
2566,26-09-2020,Health Dept,Unhygienic premises in Hotel etc,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
2567,26-09-2020,Health Dept,Increase in mosquito density,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
2568,26-09-2020,Health Dept,Increase in mosquito density,Kottigepalya/73,RRNagar,Nammabengaluru App,CLOSED
2569,26-09-2020,Health Dept,Air/Noise pollution,Sagayapuram/60,East,Nammabengaluru App,CLOSED
2570,26-09-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2571,26-09-2020,Health Dept,Spraying,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
2572,27-09-2020,Health Dept,Air/Noise pollution,Kadugodi/83,Mahadevapura,Nammabengaluru App,REJECTED
2573,27-09-2020,Health Dept,Unhygienic premises in Hotel etc,Agrahara Dasarahalli/105,West,Sahaaya Helpline,CLOSED
2574,27-09-2020,Health Dept,Unhygienic premises in Hotel etc,Hampi Nagar/133,South,Nammabengaluru App,CLOSED
2575,27-09-2020,Health Dept,Air/Noise pollution,Hosakerehalli/161,South,Nammabengaluru App,CLOSED
2576,27-09-2020,Health Dept,Spraying,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
2577,27-09-2020,Health Dept,Birth & Death Registration,Jakkur/5,Yelahanka,Nammabengaluru App,REJECTED
2578,28-09-2020,Health Dept,Delay in issue of Trade licence,C.V.Raman Nagar/57,East,Nammabengaluru App,CLOSED
2579,28-09-2020,Health Dept,Unhygienic premises in Hotel etc,Gali Anjaneya Swamy Temple Ward/157,South,Sahaaya Helpline,CLOSED
2580,28-09-2020,Health Dept,Fogging,Gandhi Nagar/94,West,Sahaaya Helpline,CLOSED
2581,28-09-2020,Health Dept,Spraying,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
2582,29-09-2020,Health Dept,Increase in mosquito density,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
2583,29-09-2020,Health Dept,Spraying,Jakkur/5,Yelahanka,Sahaaya Helpline,CLOSED
2584,29-09-2020,Health Dept,Increase in mosquito density,Vignana Nagar/81,Mahadevapura,Sahaaya Helpline,CLOSED
2585,29-09-2020,Health Dept,Spraying,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
2586,29-09-2020,Health Dept,Spraying,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
2587,29-09-2020,Health Dept,Birth & Death Registration,H.M.T/38,RRNagar,Nammabengaluru App,CLOSED
2588,29-09-2020,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
2589,29-09-2020,Health Dept,Increase in mosquito density,HBR Layout/24,East,Nammabengaluru App,CLOSED
2590,29-09-2020,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
